,100 Bytes,500 Bytes,1000 Bytes,2000 Bytes,3000 Bytes,4000 Bytes,5000 Bytes,6000 Bytes,7000 Bytes
335,6.667,6.885,7.945,7.228,7.6,9.47,8.055,8.644,9.963
336,6.68,5.813,5.96,6.202,7.663,9.262,9.161,8.536,9.976
337,6.685,5.761,5.947,6.239,6.536,8.225,9.011,9.255,10.021
338,5.727,6.823,6.995,7.25,6.516,8.231,9.131,9.263,9.117
339,5.727,6.917,7.227,7.267,6.646,9.215,8.148,8.276,10.104
340,6.723,6.894,7.036,7.158,7.549,9.229,8.088,8.211,10.142
341,6.697,5.875,6.001,6.277,7.637,9.309,9.051,8.254,10.581
342,6.71,5.914,5.955,6.284,6.61,8.055,9.033,9.246,9.039
343,5.746,6.885,7.288,7.506,6.268,8.047,9.03,9.276,9.898
344,5.699,6.885,7.014,7.286,6.485,9.073,8.046,8.513,10.242
345,6.727,6.924,6.989,7.475,7.262,9.305,8.0,8.316,10.3
346,6.701,5.922,5.988,6.467,7.573,9.292,8.02,8.636,9.173
347,6.739,6.003,6.028,6.337,6.259,8.293,9.04,9.523,9.15
348,5.796,6.907,7.03,6.304,6.503,8.226,9.2,9.504,8.975
349,5.775,6.986,7.133,7.355,9.4,9.521,8.299,8.278,10.275
350,6.769,6.953,7.16,7.346,7.683,9.307,8.272,8.269,10.336
351,6.783,5.884,5.979,6.315,7.608,9.601,8.283,8.626,8.931
352,6.733,5.883,5.983,6.31,8.62,8.275,9.568,9.671,8.945
353,5.691,5.899,7.069,6.319,6.54,8.305,9.681,9.225,9.316
354,5.716,6.876,7.03,7.257,6.825,8.289,8.665,9.452,9.891
355,5.743,6.854,7.035,7.213,7.545,9.357,8.625,8.329,9.922
356,6.732,5.892,6.02,6.367,7.525,9.153,8.56,8.645,8.943
